order,id,date,time,title,url,visitCount,typedCount,transition
74,3684,5/8/2024,17:50:13,como escrever colorido no github - Pesquisa Google,https://www.google.com/search?q=como+escrever+colorido+no+github&sca_esv=d7773eb477db942c&sca_upv=1&udm=2&biw=960&bih=967&ei=S-Q7ZvvQA7zV1sQPr4ij0AY&ved=0ahUKEwi7oumB9v6FAxW8qpUCHS_ECGoQ4dUDCBA&uact=5&oq=como+escrever+colorido+no+github&gs_lp=Egxnd3Mtd2l6LXNlcnAaAhgCIiBjb21vIGVzY3JldmVyIGNvbG9yaWRvIG5vIGdpdGh1YkjsM1AAWJQycAN4AJABAJgBlgKgAckmqgEGMC4zMy4yuAEDyAEA-AEBmAIdoALiHcICERAAGIAEGLEDGIMBGIoFGIsDwgIIEAAYgAQYiwPCAg4QABiABBixAxiDARiLA8ICBxAAGAMYiwPCAgsQABiABBixAxiLA8ICChAAGIAEGEMYigXCAg0QABiABBhDGIoFGIsDwgIFEAAYgATCAgcQABiLAxgewgIJEAAYCBiLAxgewgIKEAAYgAQYGBiLA8ICBBAAGB6YAwCSBwYyLjI2LjGgB_emAQ&sclient=gws-wiz-serp&safe=active&ssui=on,2,0,form_submit
75,3683,5/8/2024,17:49:40,Carol42/README.md at main · Carol42/Carol42,https://github.com/Carol42/Carol42/blob/main/README.md?plain=1,9,0,link
76,3683,5/8/2024,17:49:40,Carol42/README.md at main · Carol42/Carol42,https://github.com/Carol42/Carol42/blob/main/README.md?plain=1,9,0,link
77,3683,5/8/2024,17:49:40,Carol42/README.md at main · Carol42/Carol42,https://github.com/Carol42/Carol42/blob/main/README.md?plain=1,9,0,link
78,3682,5/8/2024,17:49:28,Carol42/README.md at main · Carol42/Carol42,https://github.com/Carol42/Carol42/blob/main/README.md,8,0,link
79,3682,5/8/2024,17:49:27,Carol42/README.md at main · Carol42/Carol42,https://github.com/Carol42/Carol42/blob/main/README.md,8,0,link
80,3682,5/8/2024,17:49:27,Carol42/README.md at main · Carol42/Carol42,https://github.com/Carol42/Carol42/blob/main/README.md,8,0,link
81,3683,5/8/2024,17:49:15,Carol42/README.md at main · Carol42/Carol42,https://github.com/Carol42/Carol42/blob/main/README.md?plain=1,9,0,link
82,3683,5/8/2024,17:49:15,Carol42/README.md at main · Carol42/Carol42,https://github.com/Carol42/Carol42/blob/main/README.md?plain=1,9,0,link
83,3683,5/8/2024,17:49:15,Carol42/README.md at main · Carol42/Carol42,https://github.com/Carol42/Carol42/blob/main/README.md?plain=1,9,0,link
84,3682,5/8/2024,17:49:13,Carol42/README.md at main · Carol42/Carol42,https://github.com/Carol42/Carol42/blob/main/README.md,8,0,link
85,3682,5/8/2024,17:49:12,Carol42/README.md at main · Carol42/Carol42,https://github.com/Carol42/Carol42/blob/main/README.md,8,0,link
86,3682,5/8/2024,17:49:12,Carol42/README.md at main · Carol42/Carol42,https://github.com/Carol42/Carol42/blob/main/README.md,8,0,link
87,3683,5/8/2024,17:48:54,Carol42/README.md at main · Carol42/Carol42,https://github.com/Carol42/Carol42/blob/main/README.md?plain=1,9,0,link
88,3683,5/8/2024,17:48:54,Carol42/README.md at main · Carol42/Carol42,https://github.com/Carol42/Carol42/blob/main/README.md?plain=1,9,0,link
89,3683,5/8/2024,17:48:54,Carol42/README.md at main · Carol42/Carol42,https://github.com/Carol42/Carol42/blob/main/README.md?plain=1,9,0,link
90,3682,5/8/2024,17:48:52,Carol42/README.md at main · Carol42/Carol42,https://github.com/Carol42/Carol42/blob/main/README.md,8,0,link
91,3682,5/8/2024,17:48:52,Carol42/README.md at main · Carol42/Carol42,https://github.com/Carol42/Carol42/blob/main/README.md,8,0,link
92,3681,5/8/2024,17:48:52,Carol42/Carol42: :octocat: Config files for my GitHub profile!,https://github.com/Carol42/Carol42,5,0,link
93,3681,5/8/2024,17:48:48,Carol42/Carol42: :octocat: Config files for my GitHub profile!,https://github.com/Carol42/Carol42,5,0,link
94,3681,5/8/2024,17:48:46,Carol42/Carol42: :octocat: Config files for my GitHub profile!,https://github.com/Carol42/Carol42,5,0,link
95,3681,5/8/2024,17:48:46,Carol42/Carol42: :octocat: Config files for my GitHub profile!,https://github.com/Carol42/Carol42,5,0,link
96,3681,5/8/2024,17:48:46,Carol42/Carol42: :octocat: Config files for my GitHub profile!,https://github.com/Carol42/Carol42,5,0,link
97,3680,5/8/2024,17:48:43,dynamic-readme · GitHub Topics,https://github.com/topics/dynamic-readme,4,0,link
98,3680,5/8/2024,17:48:43,dynamic-readme · GitHub Topics,https://github.com/topics/dynamic-readme,4,0,link
